positive_pairs.pickle,negative_pairs.pickle
"('Female', 'Water')","('Woman', 'Painting')"
"('Female', 'Stage')","('Electronics', 'Dungeon')"
"('Accessory', 'Tie')","('Fashion', 'Man')"
"('Accessory', 'Shirt')","('Person', 'Window')"
"('Accessories', 'Tie')","('Human', 'Window')"
"('Accessories', 'Shirt')","('Clothing', 'Face')"
"('Pub', 'Vigil')","('Clothing', 'Vegetation')"
"('Woman', 'Hair')","('Apparel', 'Face')"
"('Fashion', 'Jewelry')","('Apparel', 'Vegetation')"
"('Robe', 'Club')","('Face', 'Door')"
"('Art', 'Dungeon')","('Face', 'Footwear')"
"('Clothing', 'Hair')","('Man', 'Plant')"
"('Clothing', 'Audience')","('Man', 'Finger')"
"('Clothing', 'Couch')","('Man', 'Robe')"
"('Apparel', 'Hair')","('Man', 'Bed')"
"('Apparel', 'Audience')","('Man', 'Cafeteria')"
"('Apparel', 'Couch')","('Man', 'Shoe')"
"('Face', 'Head')","('Man', 'Dance')"
"('Face', 'Smile')","('Man', 'Book')"
"('Furniture', 'Lamp')","('Female', 'Crypt')"
"('Furniture', 'Pants')","('Female', 'Window')"
"('Female', 'Bed')","('Overcoat', 'Shelf')"
"('Overcoat', 'Worker')","('Overcoat', 'Shorts')"
"('Overcoat', 'Tuxedo')","('People', 'Machine')"
"('Suit', 'Court')","('Crowd', 'Ear')"
"('Woman', 'Dress')","('Photography', 'Closet')"
"('Transportation', 'Driving')","('Photo', 'Closet')"
"('Vehicle', 'Driving')","('Head', 'Shelf')"
"('Fashion', 'Robe')","('Head', 'Closet')"
"('Fashion', 'Gown')","('Suit', 'Flooring')"
"('Audience', 'Shorts')","('Portrait', 'Wood')"
"('Robe', 'Fashion')","('Electronics', 'Performer')"
"('Gown', 'Club')","('Electronics', 'Mammal')"
"('Clothing', 'Pants')","('Girl', 'Man')"
"('Clothing', 'Bed')","('Dating', 'Glasses')"
"('Clothing', 'Footwear')","('Sitting', 'Painting')"
"('Clothing', 'Book')","('Gown', 'Halo')"
"('Apparel', 'Pants')","('Clothing', 'Military')"
"('Apparel', 'Bed')","('Clothing', 'Ear')"
"('Apparel', 'Footwear')","('Apparel', 'Military')"
"('Apparel', 'Book')","('Apparel', 'Ear')"
"('Face', 'Portrait')","('Face', 'Furniture')"
"('Coat', 'Tie')","('Face', 'Jacket')"
"('Coat', 'Worker')","('Face', 'Sitting')"
"('Coat', 'Pottery')","('Face', 'Food')"
"('Room', 'Lamp')","('Face', 'Sport')"
"('Room', 'Worker')","('Face', 'Sports')"
"('Furniture', 'Cushion')","('Face', 'Shoe')"
"('Man', 'Court')","('Face', 'Banister')"
"('Female', 'Person')","('Coat', 'Glasses')"
"('Female', 'Human')","('Coat', 'Flooring')"
"('Female', 'Plant')","('Furniture', 'Face')"
"('Female', 'Blazer')","('Furniture', 'Symbol')"
"('Female', 'Shoe')","('Man', 'Gown')"
"('Overcoat', 'Crypt')","('Man', 'Tree')"
"('People', 'Jewelry')","('Man', 'Tuxedo')"
"('Accessory', 'Suit')","('Man', 'Footwear')"
"('Accessories', 'Suit')","('Female', 'Glasses')"
"('Suit', 'Overcoat')","('Female', 'Machine')"
"('Suit', 'Worker')","('Female', 'Vigil')"
"('Pub', 'Lighting')","('Female', 'Pc')"
"('Pub', 'Sunglasses')","('Overcoat', 'Flooring')"
"('Woman', 'Gown')","('People', 'Electronics')"
"('Woman', 'Shorts')","('Crowd', 'Vegetation')"
"('Woman', 'Dance')","('Hair', 'Court')"
"('Tie', 'Suit')","('Hair', 'Art')"
"('Girl', 'Jewelry')","('Photography', 'Plywood')"
"('Performer', 'Painting')","('Photography', 'School')"
"('Robe', 'Gown')","('Photo', 'Plywood')"
"('Robe', 'Dress')","('Photo', 'School')"
"('Gown', 'Fashion')","('Head', 'Finger')"
"('Gown', 'Dress')","('Head', 'Couch')"
"('Child', 'Party')","('Head', 'Shorts')"
"('Kid', 'Party')","('Suit', 'Glasses')"
"('Clothing', 'Finger')","('Suit', 'Shelf')"
"('Clothing', 'Girl')","('Suit', 'Ear')"
"('Clothing', 'Shelf')","('Pub', 'Military')"
"('Clothing', 'Shoe')","('Woman', 'Court')"
"('Apparel', 'Finger')","('Portrait', 'Sleeve')"
"('Apparel', 'Girl')","('Portrait', 'Shorts')"
"('Apparel', 'Shelf')","('Electronics', 'Painting')"
"('Apparel', 'Shoe')","('Table', 'Jaw')"
"('Face', 'Water')","('Jacket', 'Painting')"
"('Room', 'Wine')","('Fashion', 'Pedestrian')"
"('Furniture', 'Plywood')","('Fashion', 'Glasses')"
"('Man', 'Arm')","('Tie', 'Flooring')"
"('Female', 'Couch')","('Girl', 'Painting')"
"('Female', 'Footwear')","('Court', 'Stage')"
"('Overcoat', 'Coat')","('Wood', 'Jaw')"
"('Overcoat', 'Pottery')","('Robe', 'Man')"
"('People', 'Dress')","('Sleeve', 'Halo')"
"('People', 'Dance')","('Art', 'Halo')"
"('People', 'Stage')","('Person', 'Art')"
"('People', 'Party')","('Person', 'Halo')"
"('Crowd', 'Sport')","('Human', 'Art')"
"('Crowd', 'Sports')","('Human', 'Halo')"
"('Hair', 'Shop')","('Clothing', 'Photography')"
"('Hair', 'Ear')","('Clothing', 'Photo')"
"('Hair', 'Closet')","('Clothing', 'Electronics')"
"('Photography', 'Jaw')","('Clothing', 'Painting')"
"('Photo', 'Jaw')","('Clothing', 'Pc')"
"('Accessory', 'Blazer')","('Apparel', 'Photography')"
"('Accessory', 'Glasses')","('Apparel', 'Photo')"
"('Accessories', 'Blazer')","('Apparel', 'Electronics')"
"('Accessories', 'Glasses')","('Apparel', 'Painting')"
"('Suit', 'Tuxedo')","('Apparel', 'Pc')"
"('Woman', 'Fashion')","('Face', 'Vigil')"
"('Woman', 'Shop')","('Face', 'Cafeteria')"
