positive_pairs.pickle,negative_pairs.pickle
"('Automobile', 'Vehicle')","('Display', 'Art')"
"('Automobile', 'Electronics')","('Display', 'Architecture')"
"('Automobile', 'Pants')","('Display', 'Jaw')"
"('Automobile', 'Glasses')","('Display', 'Hug')"
"('Automobile', 'Machine')","('Display', 'Jewelry')"
"('Automobile', 'Halo')","('Cushion', 'Performer')"
"('Automobile', 'Stage')","('Cushion', 'Architecture')"
"('Child', 'Person')","('Cushion', 'Jaw')"
"('Child', 'Human')","('Cushion', 'Military')"
"('Child', 'Gown')","('Cushion', 'School')"
"('Child', 'Blonde')","('Architecture', 'Person')"
"('Child', 'Smile')","('Architecture', 'Human')"
"('Child', 'Dress')","('Architecture', 'Dating')"
"('Child', 'Closet')","('Architecture', 'Car')"
"('Child', 'Banister')","('Architecture', 'Automobile')"
"('Kid', 'Person')","('Architecture', 'Plywood')"
"('Kid', 'Human')","('Architecture', 'Party')"
"('Kid', 'Gown')","('Shirt', 'Vigil')"
"('Kid', 'Blonde')","('Shirt', 'Ear')"
"('Kid', 'Smile')","('Musician', 'Shop')"
"('Kid', 'Dress')","('Glass', 'Jaw')"
"('Kid', 'Closet')","('Glass', 'Military')"
"('Kid', 'Banister')","('Glass', 'Halo')"
"('Hat', 'Animal')","('Pedestrian', 'Mammal')"
"('Hat', 'Meal')","('Pedestrian', 'Hug')"
"('Hat', 'Clinic')","('Housing', 'Halo')"
"('Drink', 'Lamp')","('Housing', 'School')"
"('Drink', 'Bed')","('Text', 'Dungeon')"
"('Beverage', 'Lamp')","('Text', 'Painting')"
"('Beverage', 'Bed')","('Animal', 'Car')"
"('Sleeve', 'Hair')","('Animal', 'Automobile')"
"('Sleeve', 'Jacket')","('Animal', 'Sleeve')"
"('Sleeve', 'Wood')","('Animal', 'Pants')"
"('Sleeve', 'Sitting')","('Animal', 'Plywood')"
"('Sleeve', 'Club')","('Animal', 'Light')"
"('Sleeve', 'Flooring')","('Animal', 'Footwear')"
"('Sleeve', 'Cafeteria')","('Animal', 'Piano')"
"('Sleeve', 'Shoe')","('Animal', 'Driving')"
"('Sleeve', 'Wheel')","('Animal', 'Prison')"
"('Sleeve', 'Book')","('Pants', 'Face')"
"('Teen', 'Plant')","('Pants', 'Head')"
"('Teen', 'Gown')","('Pants', 'Dungeon')"
"('Teen', 'Child')","('Pants', 'Jaw')"
"('Teen', 'Kid')","('Pants', 'Hand')"
"('Teen', 'Couch')","('Pants', 'Tuxedo')"
"('Teen', 'Water')","('Lighting', 'Arm')"
"('Teen', 'Bed')","('Lighting', 'Wine')"
"('Art', 'Fashion')","('Lighting', 'School')"
"('Art', 'Jewelry')","('Road', 'Party')"
"('Monitor', 'Sitting')","('Dungeon', 'Crowd')"
"('Monitor', 'Sleeve')","('Dungeon', 'Vehicle')"
"('Monitor', 'Glasses')","('Dungeon', 'Cushion')"
"('Monitor', 'Window')","('Dungeon', 'Shirt')"
"('Monitor', 'Closet')","('Dungeon', 'Blazer')"
"('Display', 'Sitting')","('Dungeon', 'Glasses')"
"('Display', 'Sleeve')","('Dungeon', 'Blossom')"
"('Display', 'Glasses')","('Dungeon', 'Flower')"
"('Display', 'Window')","('Dungeon', 'Desk')"
"('Display', 'Closet')","('Dungeon', 'Speech')"
"('Cushion', 'Lamp')","('Dungeon', 'Clinic')"
"('Cushion', 'Bed')","('Dungeon', 'Helmet')"
"('Cushion', 'Stage')","('Alcohol', 'Stage')"
"('Architecture', 'Performer')","('Blazer', 'Finger')"
"('Architecture', 'Crypt')","('Blazer', 'Hat')"
"('Architecture', 'Helmet')","('Blazer', 'Vigil')"
"('Shirt', 'Pants')","('Blazer', 'Flooring')"
"('Shirt', 'Glasses')","('Blazer', 'Window')"
"('Shirt', 'Shelf')","('Couch', 'Performer')"
"('Shirt', 'Grass')","('Couch', 'Dungeon')"
"('Musician', 'Performer')","('Couch', 'Jaw')"
"('Musician', 'Stage')","('Couch', 'Painting')"
"('Glass', 'Bed')","('Couch', 'Symbol')"
"('Pedestrian', 'Prison')","('City', 'Person')"
"('Text', 'Glasses')","('City', 'Human')"
"('Text', 'Pottery')","('City', 'Halo')"
"('Animal', 'Vegetation')","('City', 'Party')"
"('Pants', 'Jacket')","('Town', 'Person')"
"('Pants', 'Couch')","('Town', 'Human')"
"('Pants', 'Shelf')","('Town', 'Halo')"
"('Pants', 'Shoe')","('Town', 'Party')"
"('Lighting', 'Pedestrian')","('Crypt', 'Crowd')"
"('Lighting', 'Sunglasses')","('Crypt', 'Jacket')"
"('Lighting', 'Stage')","('Crypt', 'Dating')"
"('Road', 'Closet')","('Crypt', 'Audience')"
"('Dungeon', 'Architecture')","('Crypt', 'Lamp')"
"('Dungeon', 'Jewelry')","('Crypt', 'Car')"
"('Tree', 'Plant')","('Crypt', 'Automobile')"
"('Blazer', 'Suit')","('Crypt', 'Shirt')"
"('Blazer', 'Tie')","('Crypt', 'Glasses')"
"('Blazer', 'Water')","('Crypt', 'Blonde')"
"('Blazer', 'Pottery')","('Crypt', 'Blossom')"
"('Couch', 'Finger')","('Crypt', 'Flower')"
"('Couch', 'Lamp')","('Crypt', 'Hand')"
"('Couch', 'Pants')","('Crypt', 'Cafeteria')"
"('Couch', 'Flooring')","('Crypt', 'Pottery')"
"('Plywood', 'Pants')","('Crypt', 'Clinic')"
"('Plywood', 'Cafeteria')","('Crypt', 'Helmet')"
"('Plywood', 'Shop')","('Plywood', 'Pedestrian')"
"('Glasses', 'Accessory')","('Plywood', 'Skin')"
"('Glasses', 'Accessories')","('Plywood', 'Hand')"
"('Glasses', 'Cushion')","('Plywood', 'Stage')"
"('Glasses', 'Shirt')","('Light', 'Arm')"
"('Glasses', 'Text')","('Light', 'Clinic')"
"('Glasses', 'Theater')","('Glasses', 'Tie')"
"('Glasses', 'Book')","('Glasses', 'Hat')"
"('Skin', 'Jaw')","('Glasses', 'Crypt')"
"('Blonde', 'Hair')","('Glasses', 'Club')"
"('Blonde', 'Blossom')","('Glasses', 'Party')"
"('Blonde', 'Flower')","('Skin', 'Wood')"
"('Blonde', 'School')","('Skin', 'Shelf')"
"('Shelf', 'Finger')","('Skin', 'Driving')"
"('Shelf', 'Wood')","('Skin', 'Closet')"
"('Shelf', 'Door')","('Blonde', 'Man')"
"('Shelf', 'Pants')","('Blonde', 'Dungeon')"
"('Shelf', 'Flooring')","('Blonde', 'Light')"
"('Shelf', 'Cafeteria')","('Blonde', 'Halo')"
"('Shelf', 'Shop')","('Shelf', 'Art')"
"('Shelf', 'Prison')","('Shelf', 'Animal')"
"('Shelf', 'Pianist')","('Shelf', 'Skin')"
"('Sport', 'Stage')","('Shelf', 'Military')"
"('Sports', 'Stage')","('Shelf', 'Mammal')"
"('Blossom', 'Plant')","('Sport', 'Art')"
"('Blossom', 'Flower')","('Sport', 'Crypt')"
"('Blossom', 'Dress')","('Sport', 'Lecture')"
"('Flower', 'Plant')","('Sports', 'Art')"
"('Flower', 'Blossom')","('Sports', 'Crypt')"
"('Flower', 'Dress')","('Sports', 'Lecture')"
"('Smile', 'Water')","('Machine', 'Dance')"
"('Vigil', 'Painting')","('Blossom', 'Man')"
"('Worker', 'Driving')","('Blossom', 'Pedestrian')"
"('Jaw', 'Head')","('Blossom', 'Prison')"
"('Club', 'Shorts')","('Blossom', 'Helmet')"
"('Club', 'Shop')","('Flower', 'Man')"
"('Club', 'Stage')","('Flower', 'Pedestrian')"
"('Tuxedo', 'Suit')","('Flower', 'Prison')"
"('Flooring', 'Finger')","('Flower', 'Helmet')"
"('Flooring', 'Sleeve')","('Smile', 'Flooring')"
"('Flooring', 'School')","('Worker', 'Painting')"
"('Flooring', 'Helmet')","('Jaw', 'Lamp')"
"('Dress', 'Female')","('Jaw', 'Vigil')"
"('Dress', 'Audience')","('Jaw', 'Grass')"
"('Dress', 'Robe')","('Jaw', 'Window')"
"('Dress', 'Closet')","('Jaw', 'Shorts')"
"('Desk', 'Driving')","('Jaw', 'Shop')"
"('Footwear', 'Pants')","('Jaw', 'Closet')"
"('Footwear', 'Shoe')","('Club', 'Court')"
"('Cafeteria', 'Shop')","('Club', 'Hand')"
"('Cafeteria', 'Book')","('Club', 'Halo')"
"('Sunglasses', 'Lighting')","('Club', 'Wine')"
"('Sunglasses', 'Glasses')","('Military', 'Female')"
"('Shorts', 'School')","('Military', 'Finger')"
"('Mammal', 'Animal')","('Military', 'Glasses')"
"('Dance', 'Dungeon')","('Military', 'Shorts')"
"('Dance', 'Shorts')","('Military', 'Ear')"
"('Halo', 'Pedestrian')","('Tuxedo', 'Glasses')"
"('Halo', 'Computer')","('Tuxedo', 'Flooring')"
"('Clinic', 'Prison')","('Tuxedo', 'School')"
"('Jewelry', 'Club')","('Meal', 'Halo')"
"('Painting', 'Vigil')","('Bed', 'Symbol')"
"('Painting', 'Mammal')","('Flooring', 'Hand')"
"('Party', 'Shorts')","('Computer', 'Dance')"
"('Lecture', 'Book')","('Computer', 'Stage')"
"('Symbol', 'Military')","('Dress', 'Flooring')"
"('Book', 'Shelf')","('Dress', 'Cafe')"
"('Person', 'Crowd')","('Dress', 'Clinic')"
"('Person', 'Plant')","('Desk', 'Performer')"
"('Person', 'Wood')","('Desk', 'Hat')"
"('Person', 'Sitting')","('Desk', 'Dance')"
"('Person', 'Food')","('Cafeteria', 'Dungeon')"
"('Person', 'Robe')","('Cafeteria', 'Halo')"
"('Person', 'Lamp')","('Path', 'Halo')"
"('Person', 'Gown')","('Shorts', 'Prison')"
"('Person', 'Musician')","('Mammal', 'Lighting')"
"('Person', 'Couch')","('Mammal', 'Club')"
"('Person', 'Blossom')","('Mammal', 'Dance')"
"('Person', 'Flower')","('Halo', 'Clothing')"
"('Person', 'Worker')","('Halo', 'Apparel')"
"('Person', 'Arm')","('Halo', 'Furniture')"
"('Human', 'Crowd')","('Halo', 'Hair')"
"('Human', 'Plant')","('Halo', 'Wood')"
"('Human', 'Wood')","('Halo', 'Food')"
"('Human', 'Sitting')","('Halo', 'Hat')"
"('Human', 'Food')","('Halo', 'Sleeve')"
"('Human', 'Robe')","('Halo', 'Musician')"
"('Human', 'Lamp')","('Halo', 'Pants')"
"('Human', 'Gown')","('Halo', 'Couch')"
"('Human', 'Musician')","('Halo', 'Bed')"
"('Human', 'Couch')","('Halo', 'Footwear')"
"('Human', 'Blossom')","('Halo', 'Shoe')"
"('Human', 'Flower')","('Halo', 'Mammal')"
"('Human', 'Worker')","('Halo', 'Ear')"
"('Human', 'Arm')","('Wine', 'School')"
"('Clothing', 'People')","('Painting', 'Club')"
"('Clothing', 'Architecture')","('Painting', 'Halo')"
"('Clothing', 'Flooring')","('Painting', 'Prison')"
"('Apparel', 'People')","('Stage', 'Halo')"
"('Apparel', 'Architecture')","('Pc', 'Performer')"
"('Apparel', 'Flooring')","('Book', 'Dungeon')"
"('Face', 'Person')","('Book', 'Dance')"
"('Face', 'Human')","('Person', 'Overcoat')"
"('Face', 'Female')","('Person', 'Head')"
"('Face', 'Accessory')","('Person', 'Transportation')"
"('Face', 'Accessories')","('Person', 'Vehicle')"
"('Face', 'Architecture')","('Person', 'Architecture')"
"('Face', 'Vegetation')","('Person', 'Text')"
"('Coat', 'Crowd')","('Person', 'Light')"
"('Coat', 'Building')","('Person', 'Machine')"
"('Coat', 'Audience')","('Person', 'Symbol')"
"('Coat', 'Couch')","('Person', 'Helmet')"
"('Coat', 'Desk')","('Human', 'Overcoat')"
"('Coat', 'Driving')","('Human', 'Head')"
"('Coat', 'Clinic')","('Human', 'Transportation')"
"('Room', 'Clothing')","('Human', 'Vehicle')"
"('Room', 'Apparel')","('Human', 'Architecture')"
"('Room', 'Gown')","('Human', 'Text')"
"('Room', 'Drink')","('Human', 'Light')"
"('Room', 'Beverage')","('Human', 'Machine')"
"('Room', 'Pedestrian')","('Human', 'Symbol')"
"('Room', 'Road')","('Human', 'Helmet')"
"('Room', 'Alcohol')","('Clothing', 'Transportation')"
"('Room', 'Grass')","('Clothing', 'Light')"
"('Room', 'Desk')","('Clothing', 'Window')"
"('Room', 'Floor')","('Clothing', 'Sunglasses')"
"('Furniture', 'Overcoat')","('Apparel', 'Transportation')"
"('Furniture', 'Plant')","('Apparel', 'Light')"
"('Furniture', 'Electronics')","('Apparel', 'Window')"
"('Furniture', 'Child')","('Apparel', 'Sunglasses')"
"('Furniture', 'Kid')","('Face', 'Coat')"
"('Furniture', 'Alcohol')","('Face', 'Overcoat')"
"('Furniture', 'Light')","('Face', 'Electronics')"
"('Furniture', 'Tuxedo')","('Face', 'Screen')"
"('Furniture', 'Shorts')","('Face', 'Car')"
"('Furniture', 'Pottery')","('Face', 'Automobile')"
"('Man', 'Sitting')","('Face', 'Pedestrian')"
"('Man', 'Blonde')","('Face', 'Housing')"
"('Man', 'Theater')","('Face', 'Text')"
"('Female', 'Furniture')","('Face', 'Road')"
"('Female', 'Jacket')","('Face', 'Meal')"
"('Female', 'Hat')","('Face', 'Computer')"
"('Female', 'Sleeve')","('Face', 'Stage')"
"('Female', 'Worker')","('Coat', 'Outdoors')"
"('Female', 'Mammal')","('Coat', 'Screen')"
"('Overcoat', 'Furniture')","('Coat', 'Monitor')"
"('Overcoat', 'Building')","('Coat', 'Display')"
"('Overcoat', 'Audience')","('Coat', 'Alcohol')"
"('Overcoat', 'Art')","('Coat', 'Plywood')"
"('Overcoat', 'Lighting')","('Coat', 'Water')"
"('Overcoat', 'Blonde')","('Coat', 'Party')"
"('Overcoat', 'Jaw')","('Room', 'Performer')"
"('Overcoat', 'Club')","('Room', 'Housing')"
"('Overcoat', 'Computer')","('Room', 'Glasses')"
"('Overcoat', 'Pillow')","('Room', 'Pc')"
"('Overcoat', 'Wheel')","('Room', 'School')"
"('Overcoat', 'Prison')","('Furniture', 'Hat')"
"('People', 'Woman')","('Furniture', 'Sport')"
"('People', 'Building')","('Furniture', 'Sports')"
"('People', 'Plant')","('Furniture', 'Dress')"
"('People', 'Fashion')","('Furniture', 'Vegetation')"
"('People', 'Girl')","('Furniture', 'Jewelry')"
"('People', 'Clinic')","('Man', 'Outdoors')"
"('Crowd', 'Hair')","('Man', 'Vigil')"
"('Crowd', 'Blazer')","('Man', 'Pillow')"
"('Crowd', 'Skin')","('Man', 'Vegetation')"
"('Crowd', 'Closet')","('Female', 'Face')"
"('Hair', 'Clothing')","('Female', 'Art')"
"('Hair', 'Apparel')","('Female', 'Architecture')"
"('Hair', 'Fashion')","('Female', 'Animal')"
"('Hair', 'Dating')","('Female', 'Road')"
"('Hair', 'Restaurant')","('Female', 'Skin')"
"('Photography', 'Ear')","('Overcoat', 'Person')"
"('Photography', 'Symbol')","('Overcoat', 'Human')"
"('Photo', 'Ear')","('Overcoat', 'Portrait')"
"('Photo', 'Symbol')","('Overcoat', 'Outdoors')"
"('Head', 'Performer')","('Overcoat', 'Electronics')"
"('Head', 'Dating')","('Overcoat', 'Jacket')"
"('Head', 'Pedestrian')","('Overcoat', 'Monitor')"
"('Head', 'Water')","('Overcoat', 'Display')"
"('Head', 'Dance')","('Overcoat', 'Housing')"
"('Accessory', 'Female')","('Overcoat', 'Helmet')"
"('Accessory', 'People')","('People', 'Furniture')"
"('Accessory', 'Transportation')","('People', 'Head')"
"('Accessory', 'Vehicle')","('People', 'Table')"
"('Accessory', 'Dating')","('People', 'Food')"
"('Accessory', 'Musician')","('People', 'Pedestrian')"
"('Accessory', 'Blonde')","('People', 'Alcohol')"
"('Accessory', 'Jaw')","('People', 'Couch')"
"('Accessory', 'Meal')","('People', 'Bed')"
"('Accessory', 'Desk')","('People', 'Computer')"
"('Accessory', 'Wine')","('People', 'Wine')"
"('Accessories', 'Female')","('Crowd', 'Man')"
"('Accessories', 'People')","('Crowd', 'Photography')"
"('Accessories', 'Transportation')","('Crowd', 'Photo')"
"('Accessories', 'Vehicle')","('Crowd', 'Portrait')"
"('Accessories', 'Dating')","('Crowd', 'Electronics')"
"('Accessories', 'Musician')","('Crowd', 'Drink')"
"('Accessories', 'Blonde')","('Crowd', 'Beverage')"
"('Accessories', 'Jaw')","('Crowd', 'Hand')"
"('Accessories', 'Meal')","('Crowd', 'Computer')"
"('Accessories', 'Desk')","('Crowd', 'Street')"
"('Accessories', 'Wine')","('Crowd', 'Wheel')"
"('Suit', 'Woman')","('Crowd', 'Mammal')"
"('Suit', 'Table')","('Crowd', 'Banister')"
"('Suit', 'Audience')","('Crowd', 'Pianist')"
"('Suit', 'City')","('Hair', 'Suit')"
"('Suit', 'Town')","('Hair', 'Lamp')"
"('Suit', 'Blonde')","('Hair', 'Alcohol')"
"('Suit', 'Jaw')","('Hair', 'Glasses')"
"('Suit', 'Club')","('Hair', 'Hand')"
"('Suit', 'Shop')","('Photography', 'Room')"
"('Pub', 'Clothing')","('Photography', 'Electronics')"
"('Pub', 'Apparel')","('Photography', 'Tie')"
"('Pub', 'Room')","('Photography', 'Screen')"
"('Pub', 'Woman')","('Photography', 'Teen')"
"('Pub', 'Finger')","('Photography', 'Monitor')"
"('Pub', 'Table')","('Photography', 'Display')"
"('Pub', 'Food')","('Photography', 'Text')"
"('Pub', 'Restaurant')","('Photography', 'City')"
"('Pub', 'Couch')","('Photography', 'Town')"
"('Pub', 'City')","('Photography', 'Meal')"
"('Pub', 'Town')","('Photography', 'Dress')"
"('Pub', 'Grass')","('Photography', 'Desk')"
"('Pub', 'Desk')","('Photography', 'Pc')"
"('Pub', 'Pillow')","('Photo', 'Room')"
"('Pub', 'Ear')","('Photo', 'Electronics')"
"('Pub', 'Banister')","('Photo', 'Tie')"
"('Woman', 'Crowd')","('Photo', 'Screen')"
"('Woman', 'Housing')","('Photo', 'Teen')"
"('Woman', 'Sport')","('Photo', 'Monitor')"
"('Woman', 'Sports')","('Photo', 'Display')"
"('Woman', 'Grass')","('Photo', 'Text')"
"('Woman', 'Sunglasses')","('Photo', 'City')"
"('Woman', 'Mammal')","('Photo', 'Town')"
"('Woman', 'Lecture')","('Photo', 'Meal')"
"('Woman', 'Banister')","('Photo', 'Dress')"
"('Building', 'Nature')","('Photo', 'Desk')"
"('Building', 'Animal')","('Photo', 'Pc')"
"('Building', 'Tuxedo')","('Head', 'Female')"
"('Building', 'Path')","('Head', 'Pub')"
"('Building', 'Street')","('Head', 'Table')"
"('Building', 'Wheel')","('Head', 'Sitting')"
"('Portrait', 'Tuxedo')","('Head', 'Door')"
"('Portrait', 'Vegetation')","('Head', 'Shirt')"
"('Outdoors', 'People')","('Head', 'Housing')"
"('Outdoors', 'Photography')","('Head', 'Dungeon')"
"('Outdoors', 'Photo')","('Head', 'Alcohol')"
"('Outdoors', 'Building')","('Head', 'City')"
"('Plant', 'Person')","('Head', 'Town')"
"('Plant', 'Human')","('Head', 'Crypt')"
"('Plant', 'Clothing')","('Head', 'Blossom')"
"('Plant', 'Apparel')","('Head', 'Flower')"
"('Plant', 'Hair')","('Head', 'Worker')"
"('Plant', 'Accessory')","('Head', 'Club')"
"('Plant', 'Accessories')","('Head', 'Computer')"
"('Plant', 'Fashion')","('Head', 'Sunglasses')"
"('Plant', 'Robe')","('Head', 'Street')"
"('Plant', 'Gown')","('Head', 'Symbol')"
"('Plant', 'Glass')","('Head', 'Pianist')"
"('Plant', 'Shelf')","('Head', 'Book')"
"('Plant', 'Water')","('Accessory', 'Child')"
"('Plant', 'Sunglasses')","('Accessory', 'Kid')"
"('Plant', 'Path')","('Accessory', 'Art')"
"('Plant', 'Shop')","('Accessory', 'Animal')"
"('Plant', 'Clinic')","('Accessory', 'Plywood')"
"('Finger', 'Girl')","('Accessory', 'Military')"
"('Finger', 'Hat')","('Accessory', 'Computer')"
"('Finger', 'Tree')","('Accessory', 'Window')"
"('Finger', 'Plywood')","('Accessory', 'Shoe')"
"('Finger', 'Light')","('Accessory', 'Mammal')"
"('Finger', 'Cafeteria')","('Accessory', 'Pianist')"
"('Finger', 'Vegetation')","('Accessories', 'Child')"
"('Finger', 'Street')","('Accessories', 'Kid')"
"('Finger', 'Wheel')","('Accessories', 'Art')"
"('Transportation', 'Man')","('Accessories', 'Animal')"
"('Transportation', 'Nature')","('Accessories', 'Plywood')"
"('Transportation', 'Hat')","('Accessories', 'Military')"
"('Transportation', 'Text')","('Accessories', 'Computer')"
"('Transportation', 'Plywood')","('Accessories', 'Window')"
"('Transportation', 'Shelf')","('Accessories', 'Shoe')"
"('Transportation', 'Military')","('Accessories', 'Mammal')"
"('Transportation', 'Window')","('Accessories', 'Pianist')"
"('Transportation', 'Prison')","('Suit', 'Nature')"
"('Transportation', 'Closet')","('Suit', 'Restaurant')"
"('Transportation', 'Symbol')","('Suit', 'Road')"
"('Vehicle', 'Man')","('Suit', 'Path')"
"('Vehicle', 'Nature')","('Suit', 'Arm')"
"('Vehicle', 'Plywood')","('Suit', 'Pianist')"
"('Vehicle', 'Shelf')","('Pub', 'Chair')"
"('Vehicle', 'Window')","('Pub', 'Crypt')"
"('Vehicle', 'Prison')","('Pub', 'Plywood')"
"('Vehicle', 'Closet')","('Pub', 'Hand')"
"('Vehicle', 'Symbol')","('Pub', 'Window')"
"('Vehicle', 'Helmet')","('Pub', 'Painting')"
"('Electronics', 'Furniture')","('Woman', 'Photography')"
"('Electronics', 'Table')","('Woman', 'Photo')"
"('Electronics', 'Car')","('Woman', 'Transportation')"
"('Electronics', 'Automobile')","('Woman', 'Sitting')"
"('Electronics', 'Road')","('Woman', 'Screen')"
"('Electronics', 'Alcohol')","('Woman', 'Animal')"
"('Electronics', 'Couch')","('Woman', 'Road')"
"('Electronics', 'City')","('Woman', 'Dungeon')"
"('Electronics', 'Town')","('Woman', 'Plywood')"
"('Electronics', 'Plywood')","('Woman', 'Jaw')"
"('Electronics', 'Blonde')","('Woman', 'Floor')"
"('Electronics', 'Computer')","('Woman', 'Hug')"
"('Electronics', 'Footwear')","('Building', 'Man')"
"('Electronics', 'Speech')","('Building', 'Girl')"
"('Electronics', 'Halo')","('Building', 'Lamp')"
"('Table', 'Coat')","('Building', 'Gown')"
"('Table', 'Electronics')","('Building', 'Door')"
"('Table', 'Court')","('Building', 'Car')"
"('Table', 'Road')","('Building', 'Automobile')"
"('Table', 'Blonde')","('Building', 'Teen')"
"('Table', 'Worker')","('Building', 'Cushion')"
"('Table', 'Bed')","('Building', 'Blazer')"
"('Table', 'Computer')","('Building', 'Plywood')"
"('Table', 'Footwear')","('Building', 'Shelf')"
"('Table', 'Shop')","('Building', 'Water')"
"('Table', 'Prison')","('Building', 'Flooring')"
"('Table', 'Lecture')","('Building', 'Driving')"
"('Jacket', 'Clothing')","('Building', 'Closet')"
"('Jacket', 'Apparel')","('Building', 'Pianist')"
"('Jacket', 'Furniture')","('Portrait', 'Room')"
"('Jacket', 'Dating')","('Portrait', 'Transportation')"
"('Jacket', 'Lamp')","('Portrait', 'Vehicle')"
"('Jacket', 'Footwear')","('Portrait', 'Electronics')"
"('Jacket', 'Shoe')","('Portrait', 'Tie')"
"('Jacket', 'Jewelry')","('Portrait', 'Child')"
"('Jacket', 'Banister')","('Portrait', 'Kid')"
"('Nature', 'Photography')","('Portrait', 'Blossom')"
"('Nature', 'Photo')","('Portrait', 'Flower')"
"('Nature', 'Vigil')","('Portrait', 'Shop')"
"('Nature', 'Jaw')","('Portrait', 'Helmet')"
"('Nature', 'Dress')","('Outdoors', 'Coat')"
"('Nature', 'Window')","('Outdoors', 'Man')"
"('Nature', 'Vegetation')","('Outdoors', 'Pub')"
"('Fashion', 'Person')","('Outdoors', 'Electronics')"
"('Fashion', 'Human')","('Outdoors', 'Sitting')"
"('Fashion', 'Furniture')","('Outdoors', 'Audience')"
"('Fashion', 'Crowd')","('Outdoors', 'Lamp')"
"('Fashion', 'Suit')","('Outdoors', 'Road')"
"('Fashion', 'Table')","('Outdoors', 'Blonde')"
"('Fashion', 'Tie')","('Outdoors', 'Machine')"
"('Fashion', 'Food')","('Outdoors', 'Cafeteria')"
"('Fashion', 'Child')","('Outdoors', 'Lecture')"
"('Fashion', 'Kid')","('Outdoors', 'Closet')"
"('Fashion', 'Sleeve')","('Plant', 'Coat')"
"('Fashion', 'Teen')","('Plant', 'Room')"
"('Fashion', 'Footwear')","('Plant', 'Overcoat')"
"('Fashion', 'Cafeteria')","('Plant', 'Jacket')"
"('Fashion', 'Floor')","('Plant', 'Court')"
"('Tie', 'People')","('Plant', 'Sitting')"
"('Tie', 'Transportation')","('Plant', 'Musician')"
"('Tie', 'Vehicle')","('Plant', 'Lighting')"
"('Tie', 'Dating')","('Plant', 'Skin')"
"('Tie', 'Audience')","('Plant', 'Piano')"
"('Tie', 'Robe')","('Plant', 'Driving')"
"('Tie', 'Gown')","('Plant', 'Arm')"
"('Tie', 'Skin')","('Plant', 'Cafe')"
"('Tie', 'Jaw')","('Plant', 'Helmet')"
"('Tie', 'Club')","('Finger', 'Face')"
"('Tie', 'Dress')","('Finger', 'Coat')"
"('Tie', 'Shop')","('Finger', 'Room')"
"('Tie', 'Lecture')","('Finger', 'Man')"
"('Girl', 'Clothing')","('Finger', 'Overcoat')"
"('Girl', 'Apparel')","('Finger', 'Transportation')"
"('Girl', 'Dating')","('Finger', 'Vehicle')"
"('Girl', 'Cushion')","('Finger', 'Table')"
"('Girl', 'Sport')","('Finger', 'Performer')"
"('Girl', 'Sports')","('Finger', 'Dating')"
"('Girl', 'Arm')","('Finger', 'Lamp')"
"('Performer', 'Overcoat')","('Finger', 'Pedestrian')"
"('Performer', 'Suit')","('Finger', 'Blonde')"
"('Performer', 'Building')","('Finger', 'Meal')"
"('Performer', 'Cafe')","('Finger', 'Helmet')"
"('Performer', 'Jewelry')","('Transportation', 'Furniture')"
"('Dating', 'Hair')","('Transportation', 'Hair')"
"('Dating', 'Suit')","('Transportation', 'Performer')"
"('Dating', 'Fashion')","('Transportation', 'Court')"
"('Dating', 'Gown')","('Transportation', 'Robe')"
"('Dating', 'Blonde')","('Transportation', 'Tree')"
"('Dating', 'Smile')","('Transportation', 'Blossom')"
"('Dating', 'Sunglasses')","('Transportation', 'Flower')"
"('Dating', 'Closet')","('Transportation', 'Smile')"
"('Court', 'Coat')","('Transportation', 'Pillow')"
"('Court', 'Glass')","('Transportation', 'Path')"
"('Court', 'Desk')","('Transportation', 'Street')"
"('Court', 'Pillow')","('Vehicle', 'Furniture')"
"('Court', 'Path')","('Vehicle', 'Hair')"
"('Wood', 'Person')","('Vehicle', 'Performer')"
"('Wood', 'Human')","('Vehicle', 'Court')"
"('Wood', 'Hair')","('Vehicle', 'Robe')"
"('Wood', 'Bed')","('Vehicle', 'Tree')"
"('Wood', 'Cafe')","('Vehicle', 'Blossom')"
"('Wood', 'Clinic')","('Vehicle', 'Flower')"
"('Wood', 'Wine')","('Vehicle', 'Smile')"
"('Sitting', 'Person')","('Vehicle', 'Dress')"
"('Sitting', 'Human')","('Vehicle', 'Pillow')"
"('Sitting', 'Furniture')","('Vehicle', 'Street')"
"('Sitting', 'Man')","('Electronics', 'Face')"
"('Sitting', 'Hair')","('Electronics', 'Female')"
"('Sitting', 'Electronics')","('Electronics', 'Crowd')"
"('Sitting', 'Table')","('Electronics', 'Outdoors')"
"('Sitting', 'Wood')","('Electronics', 'Plant')"
"('Sitting', 'Alcohol')","('Electronics', 'Nature')"
"('Sitting', 'Couch')","('Electronics', 'Jaw')"
"('Sitting', 'Plywood')","('Electronics', 'Path')"
"('Sitting', 'Blonde')","('Electronics', 'Street')"
"('Sitting', 'Machine')","('Electronics', 'Party')"
"('Sitting', 'Worker')","('Electronics', 'Symbol')"
"('Sitting', 'Cafeteria')","('Table', 'Crowd')"
"('Food', 'Furniture')","('Table', 'Outdoors')"
"('Food', 'Female')","('Table', 'Architecture')"
"('Food', 'Hair')","('Table', 'Musician')"
"('Food', 'Plant')","('Table', 'Dress')"
"('Food', 'Jacket')","('Table', 'Mammal')"
