r2,subset,lagmins,r2_normed,lagsecs
0.009546384523349423,0,0,0.2677245165005346,0
0.009041734964282141,0,3,0.1403016971599425,180
0.008127314038424241,0,6,-0.09058742251392131,360
0.007683721830544293,0,9,-0.2025934051804891,540
0.007127140198920124,0,12,-0.3431289499371686,720
0.006550700415775146,0,15,-0.48867863095575415,900
0.006116998605140316,0,18,-0.5981873117249406,1080
0.0056246784395232174,0,22,-0.7224969883985988,1320
0.005378214528119644,0,25,-0.7847285427366186,1500
0.004866344861236496,0,28,-0.91397442221332,1680
0.004651289481771779,0,31,-0.9682753965694705,1860
0.004425525783965795,0,34,-1.0252801959640552,2040
0.004194062520529478,0,37,-1.083724122191478,2220
0.003955316548808653,0,40,-1.1440069150251895,2400
0.0038791456521197463,0,43,-1.163239886170038,2580
0.003824467802844466,0,46,-1.177045913709254,2760
0.0037679793687487007,0,49,-1.1913091096306399,2940
0.003805769351072037,0,52,-1.1817672285292862,3120
0.0037897212801058203,0,55,-1.1858193284682472,3300
0.003787529064311762,0,58,-1.186372857768061,3480
0.00406918222443445,0,62,-1.1152561014087528,3720
0.004204754925180571,0,65,-1.081024315322151,3900
0.004419899037061967,0,68,-1.0267009362407866,4080
0.004542535880050328,0,71,-0.9957354236234991,4260
0.004804931279908424,0,74,-0.9294812061548123,4440
0.00517518393003476,0,77,-0.8359932882526913,4620
0.005482019775236562,0,80,-0.7585179635092599,4800
0.005839292203333124,0,83,-0.6683075209501425,4980
0.0063477695132573555,0,86,-0.5399182035770793,5160
0.006411981570859799,0,89,-0.5237048109992943,5340
0.00629590363903995,0,92,-0.5530142140691151,5520
0.006144926493390419,0,95,-0.5911355860370505,5700
0.0059813043098298786,0,98,-0.6324498001512617,5880
0.005886027782116847,0,102,-0.6565068979135484,6120
0.005597119562692658,0,105,-0.7294555395763711,6300
0.005366922683864028,0,108,-0.7875797066874299,6480
0.005196897335527147,0,111,-0.8305107047536804,6660
0.004915164203092578,0,114,-0.9016476539324727,6840
0.0046696229990513686,0,117,-0.9636462268452118,7020
0.0044658981091494345,0,120,-1.0150862794019508,7200
0.010769474080652331,1,0,0.5765517351066941,0
0.009591465191294484,1,3,0.27910727846694494,180
0.008466576546495012,1,6,-0.004924442138316714,360
0.007681167190527714,1,9,-0.2032384457387617,540
0.0069043011040997165,1,12,-0.39939529399937784,720
0.006309802177947003,1,15,-0.549504865887924,900
0.005926354759882693,1,18,-0.6463244314671162,1080
0.005516350728898296,1,22,-0.7498494789586847,1320
0.005339968915395401,1,25,-0.7943854694358882,1500
0.005105045160468733,1,28,-0.8537031615748867,1680
0.00479115661622844,1,31,-0.9329592761343364,1860
0.0046895817239282584,1,34,-0.9586066960489164,2040
0.00426662373090612,1,37,-1.0654025882976481,2220
0.0041965320329100915,1,40,-1.0831005761598202,2400
0.004325805844755082,1,43,-1.0504592446135506,2580
0.0041442215967096956,1,46,-1.0963088375004428,2760
0.0041084425158886065,1,49,-1.1053429707315594,2940
0.004014348734121268,1,52,-1.1291014279416927,3120
0.004106122026082112,1,55,-1.1059288889159349,3300
0.004132147352410965,1,58,-1.099357555610481,3480
0.004131537350979834,1,62,-1.099511579528188,3720
0.004340506480068885,1,65,-1.0467473689879288,3900
0.004449941534386625,1,68,-1.0191152767660903,4080
0.004761827440338308,1,71,-0.9403648236349902,4260
0.005030688429247378,1,74,-0.8724780602326548,4440
0.005372864084058338,1,77,-0.7860795171995226,4620
0.005874958821963665,1,80,-0.6593017841559817,4800
0.006016269728712405,1,83,-0.6236211146339872,4980
0.006263612732636209,1,86,-0.5611675915151049,5160
0.006343198945946075,1,89,-0.5410722610062896,5340
0.006281698540861846,1,92,-0.5566009677407309,5520
0.006170488482293243,1,95,-0.5846812443351161,5700
0.006417341107103481,1,98,-0.5223515407818584,5880
0.006514212118930146,1,102,-0.49789183955444904,6120
0.006101954630896883,1,105,-0.6019858796177342,6300
0.006158521087442117,1,108,-0.5877029832125086,6480
0.005795916275664399,1,111,-0.6792598400312846,6660
0.0057295953285325186,1,114,-0.6960057222242697,6840
0.005502325491004263,1,117,-0.7533908183342372,7020
0.0053480144716005215,1,120,-0.7923539855350313,7200
0.0044958255112426135,2,0,-1.0075296812008139,0
0.004221001582665151,2,3,-1.0769220727572861,180
0.0038574695488889804,2,6,-1.1687130509362706,360
0.003710270101032871,2,9,-1.2058805631518181,540
0.0035401188870332148,2,12,-1.2488433420000409,720
0.0034035206716837795,2,15,-1.2833340680969554,900
0.0031694539525901474,2,18,-1.342435360716408,1080
0.0029545237787206267,2,22,-1.3967047209560879,1320
0.0029152490878604546,2,25,-1.406621487449222,1500
0.002816712394546382,2,28,-1.4315017693101328,1680
0.0026533584148395683,2,31,-1.47274826258602,1860
0.002616290285097571,2,34,-1.4821078776189514,2040
0.0024820174913806397,2,37,-1.5160114402570948,2220
0.002531521870312421,2,40,-1.5035117017358697,2400
0.002400891020767162,2,43,-1.5364956820898372,2580
0.0024566670432779793,2,46,-1.522412368407629,2760
0.0023747764188254508,2,49,-1.5430895572762546,2940
0.002375699479861623,2,52,-1.5428564865491743,3120
0.0024476316659965487,2,55,-1.5246937797877038,3300
0.0024260177678404556,2,58,-1.5301512379197986,3480
0.002566762733905071,2,62,-1.4946134670811675,3720
0.002596257697191114,2,65,-1.4871660586554052,3900
0.0027119286884335,2,68,-1.4579594071183122,4080
0.0027771429357866142,2,71,-1.4414929640003054,4260
0.0030693569049406377,2,74,-1.3677096283542196,4440
0.0029906907394832765,2,77,-1.3875726489576994,4620
