antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Blossom'}),frozenset({'Photography'}),0.07738051212260173,0.572787384802,0.04945193118444993,0.6390747467023514,1.1157276917389958,0.005129350011105427,1.1836595286550522
frozenset({'Hug'}),frozenset({'People'}),0.10961376311001317,0.6567506397834352,0.06937767192793005,0.6329284750337382,0.9637272302352802,-0.0026112371236410026,0.9351021173546857
frozenset({'Musical Instrument'}),frozenset({'Face'}),0.10479134924039585,0.9015251253679679,0.0961524237807133,0.9175607001693958,1.0177871634968385,0.0016803895192869234,1.1945137189954032
frozenset({'City'}),frozenset({'Man'}),0.0895548882412982,0.5857753583526871,0.04619754145648733,0.5158572844400396,0.8806401243827147,-0.00626150529529397,0.8555837531671212
frozenset({'Path'}),frozenset({'Photography'}),0.07627106107897812,0.572787384802,0.040591115516042664,0.5321955003878976,0.9291327192407807,-0.0030959860954588164,0.91322895686604
frozenset({'Bar Counter'}),frozenset({'Face'}),0.29955178177837605,0.9015251253679679,0.28057277259212143,0.936641975308642,1.0389527135212573,0.010519314970172777,1.5542604920488317
frozenset({'Suit'}),frozenset({'Crowd'}),0.3313708377095013,0.4621233413706898,0.2268605494001568,0.6846122940940137,1.481449285949085,0.07372635064503746,1.705445864112552
frozenset({'Glass'}),frozenset({'Face'}),0.13817842931317584,0.9015251253679679,0.12686202866821497,0.918102986832245,1.0183886849049388,0.002290702858505231,1.2024232731213234
frozenset({'Display'}),frozenset({'Apparel'}),0.13683229538024586,0.9218650611677343,0.12495377287318235,0.9131891891891892,0.9905887831701147,-0.0011871394772494659,0.9000600052284664
frozenset({'Press Conference'}),frozenset({'Coat'}),0.06956997677549148,0.5139421014482034,0.05258797946775935,0.7559004890495429,1.470789193801288,0.016833039406060554,1.991228481610714
frozenset({'Canine'}),frozenset({'Person'}),0.052232955133799795,0.9999260365970918,0.05221816245321815,0.9997167941093175,0.9997907420347945,-1.0929353475998271e-05,0.26116477566890495
frozenset({'Musician'}),frozenset({'Photography'}),0.0845845475658644,0.572787384802,0.048150175293264895,0.5692549842602309,0.9938329637916342,-0.0002987865016469485,0.9917993234681951
frozenset({'People'}),frozenset({'Clothing'}),0.6567506397834352,0.9218650611677343,0.615967219419831,0.937901209541185,1.017395331539236,0.01053175070392598,1.2582360824577778
frozenset({'Clothing'}),frozenset({'People'}),0.9218650611677343,0.6567506397834352,0.615967219419831,0.6681750349010734,1.0173953315392361,0.01053175070392598,1.0344289800926592
frozenset({'Smile'}),frozenset({'Room'}),0.1325572106921495,0.6574458957707726,0.0789633289448381,0.5956924450396162,0.9060706726919965,-0.008185865179537177,0.8472612001098833
frozenset({'Evening Dress'}),frozenset({'Overcoat'}),0.06959956213665479,0.4036922530731794,0.04958506530968477,0.712433581296493,1.764793790004552,0.021488261257831848,2.073634847960599
frozenset({'Final Fantasy'}),frozenset({'Female'}),0.09380038756823124,0.5942515643259715,0.05597550332095679,0.5967513010566157,1.004206529491394,0.0002344762741529685,1.0061989951540926
frozenset({'Girl'}),frozenset({'Furniture'}),0.28375319891717576,0.564547861718022,0.16835549769973818,0.5933166510270046,1.050958990831059,0.00816323599539806,1.070740022628497
frozenset({'Audience'}),frozenset({'Man'}),0.1606633037972811,0.5857753583526871,0.08686262037543824,0.5406500322253937,0.9229647927591311,-0.007249983980540747,0.9017626444039819
frozenset({'Outdoors'}),frozenset({'Human'}),0.33211047173858377,0.9999260365970918,0.3320660936968388,0.999866375662554,0.9999403346524101,-1.9814021113728764e-05,0.5535174528973733
