lag,movie,rms,-rms,-rms_normed,rms_normed
0,13_going_on_30,0.0,-0.0,2.2694298961081754,-2.2694298961081754
1,13_going_on_30,83.95676204810478,-83.95676204810478,0.5070539038427009,-0.5070539038427009
2,13_going_on_30,96.32641350235686,-96.32641350235686,0.24739671573943853,-0.24739671573943853
3,13_going_on_30,92.76508039609787,-92.76508039609787,0.32215433875656807,-0.32215433875656807
4,13_going_on_30,100.59013033393325,-100.59013033393325,0.1578950246489343,-0.1578950246489343
5,13_going_on_30,100.84063006288756,-100.84063006288756,0.15263666668456768,-0.15263666668456768
6,13_going_on_30,100.89231767008604,-100.89231767008604,0.1515516677422303,-0.1515516677422303
7,13_going_on_30,102.83070725563032,-102.83070725563032,0.11086201766659635,-0.11086201766659635
8,13_going_on_30,99.92062489838742,-99.92062489838742,0.17194892903392178,-0.17194892903392178
9,13_going_on_30,94.08689147971295,-94.08689147971295,0.2944075788381845,-0.2944075788381845
10,13_going_on_30,104.25073703712505,-104.25073703712505,0.08105350273394121,-0.08105350273394121
11,13_going_on_30,106.23677581043616,-106.23677581043616,0.03936362608307195,-0.03936362608307195
12,13_going_on_30,109.77034701564452,-109.77034701564452,-0.03481123377457274,0.03481123377457274
13,13_going_on_30,111.56305754713765,-111.56305754713765,-0.07244286611378452,0.07244286611378452
14,13_going_on_30,91.73889034758474,-91.73889034758474,0.3436955780907511,-0.3436955780907511
15,13_going_on_30,95.94097336140958,-95.94097336140958,0.2554876715396598,-0.2554876715396598
16,13_going_on_30,96.14030346196816,-96.14030346196816,0.2513034393802653,-0.2513034393802653
17,13_going_on_30,91.31095472761828,-91.31095472761828,0.3526785765350218,-0.3526785765350218
18,13_going_on_30,92.22415928082052,-92.22415928082052,0.33350906902508487,-0.33350906902508487
19,13_going_on_30,87.56559141202752,-87.56559141202752,0.43129926447826283,-0.43129926447826283
20,13_going_on_30,106.94107300596843,-106.94107300596843,0.024579391453885137,-0.024579391453885137
21,13_going_on_30,107.06879263491129,-107.06879263491129,0.021898368480881794,-0.021898368480881794
22,13_going_on_30,106.81743077723776,-106.81743077723776,0.027174823795836144,-0.027174823795836144
23,13_going_on_30,103.45553672773123,-103.45553672773123,0.09774592750271399,-0.09774592750271399
